	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2R-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA31-01A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A
hsa-let-7a-5p|0|-1	12.760027707153098	12.6167058388292	12.896797200192001	11.983661545177501	12.479478629052998	12.482136976342499	12.5422387354801	11.728393957465999	12.736260169257	12.6206919511925	12.0217555632128	13.218792346629	12.576059273157	12.799140730389302	11.9138811124384	13.3633124863797	12.6670749449528	12.887501512078302	11.856476143408502	12.1947500845229	12.5618460804098	12.4916493058535	12.3982165108338	12.568753221863899	12.4316124333729	12.761385305818601	12.2292563581431	12.8027127840333	12.026337039697099	12.9745852997805	12.476869152369002	12.4735356018452	13.069217240313899	12.7567872998259	12.8172473802879	12.8082182291057
hsa-let-7a-5p|0|-2	11.3105274007657	11.257757846972401	11.9069310874779	11.7166210798215	12.832827342401199	12.2125831151426	12.195442405469699	11.076935028925499	12.9916791501408	11.185829881532099	11.4903950420628	13.1157155418726	12.5119422067108	12.167005997093199	11.6688228701161	13.3613889645473	11.5555109204779	11.5453210479846	10.644071625589401	11.4204479059177	12.4806358971283	11.6337428579143	12.596489280822599	12.7383481707405	12.140393145904	11.467368169620599	11.0196911532665	12.982548988038198	11.740785767937501	12.5940651504174	12.1900248665694	12.1580051163945	13.1244632564204	11.5424038678598	11.462747929862099	12.4218776881072
hsa-let-7a-5p|0|-3	5.987646807576501	6.0161491197326304	6.82677997726707	6.46426671480495	7.3671023045213495	6.8794803411572	6.83631902562157	5.854362100786901	7.8559799737399505	6.1863072970954	6.27622811869588	7.84845028139915	7.23091203315275	6.976178069919831	6.340913043958219	8.02894283522814	6.396466837068759	6.462141305704749	5.54672659301467	6.22083716112279	7.52346761241581	6.5365875742717305	7.25642251293754	7.60721818546118	6.72776368490092	6.32611474098916	6.00068881038967	7.779498516026809	6.45725692275114	7.13880262618609	6.975766881923339	6.71351012853243	7.526701326756361	6.38902856897444	6.454039591852291	7.10456521147274
hsa-let-7a-5p|0|0	14.101736502827599	14.190747627329	14.3072762358235	13.1100059899609	13.2245269446554	13.3894695823227	13.3077766403136	13.274237914245301	13.2917292312169	13.948235174749598	13.3464421254994	13.9886113726869	13.304920901686803	13.77897885049	12.907342167020198	14.0042810799734	14.0251853875807	14.2641840091493	13.4619296270556	13.401139914445901	13.1841186164227	13.5977537265658	13.338001948597698	13.17869620873	13.5900332509708	14.175668885238302	13.658250062577698	13.4447669926984	13.0001565061184	13.834479256478698	13.4895159456759	13.5684710788448	13.935259094537	14.026611097975302	14.073824235342801	14.147704426557699
hsa-let-7b-3p|0|-1	3.09749521498052	3.5236552609758403	4.20285380548203	3.1960278260949506	4.07260885713415	3.3543110156098503	3.96076099040229	3.59048881661346	3.94305084466815	3.19885258072615	3.50762173768348	5.385824035962349	3.56603967859706	4.06725106663662	3.84230351178266	3.48893001368312	3.95073771922605	3.74977080991442	4.022206833385799	2.9315675176148397	4.21046359167284	3.45082747900863	3.4361920600815	2.96000190892785	4.27028582660599	3.7854979363572596	3.55355011119863	3.5729690539089503	4.20921925916625	4.56730982778614	4.86040749726845	3.53140541630032	4.585545353727559	2.7809314243395495	3.15956586792787	4.08752660591591
hsa-let-7b-3p|0|-2	0.622884462469705	1.54063544488303	2.3498691561757	2.31541818603553	3.15590026315525	2.96716050453184	2.05919651244208	1.5603744285856398	1.4651407824245601	1.09520063996931	1.8453532341433898	3.9235309673109597	2.45388404075382	2.5934878562247796	2.0233792509140502	2.63233476642098	2.27999706053675	1.7535397813333202	1.984991544752	2.03341061498851	2.2681130415244	1.6693733731206297	2.25657253535299	2.51760972237742	3.07138968662133	1.35597178477483	1.27422847627301	1.6368237293407	2.35528153197536	2.9479444722557004	3.2140424112472896	2.70518330062852	3.5222711424565	0.666571127924609	1.63593814719629	2.78826176388653
hsa-let-7b-5p|0|+1	10.0066160887368	10.5847550646779	10.962479433664	9.20529579768189	9.940490033970189	9.892662098484141	9.87921530009992	9.69488774511019	9.43188918565616	10.950355772374001	10.0415553088504	11.1537883717745	9.495586853702099	10.746712273993001	8.6944664965472	10.326718496511	10.4687026951971	10.795003891877402	10.2585088885512	9.37009691561554	9.790558570884839	10.544589576977	9.100372110131769	9.5468268529455	9.981290747740381	11.077809906078201	10.4208557861497	9.45456826597543	9.919273381802961	10.8863145863333	10.7302988216278	9.70392485141265	11.267213652589998	9.066160773827901	10.990370284596	10.487490354867901
hsa-let-7b-5p|0|-1	10.5228626088562	10.134251266254699	11.675378021315101	10.795611347427599	11.400265815734699	11.7025838373995	11.239877468550901	10.4444482822665	11.1768721853052	11.462885907297801	10.4646593977301	12.531588758395099	10.6867536394205	11.5133660709673	9.92426884088018	12.435714873117199	12.1786253030903	10.641199627305	9.925980780805599	10.3673179245161	11.4204234328074	10.70102975971	10.504289198528099	11.561065025519	10.801301992483099	10.6013252578609	10.1359836265631	12.013114343861801	11.138532618173098	12.6141858918969	11.709928644803199	11.1235836772951	12.415815850062401	9.732705416480151	10.9778296888764	12.030273277955198
hsa-let-7b-5p|0|-2	11.7823350682394	10.9691942703076	12.716771164391599	12.2028354136779	13.4251582492628	13.3316676587983	12.8774370637463	11.3407258334098	12.775376900208002	11.355169836501998	11.667039866700401	14.8352113640722	12.117968780815199	12.611034579084802	11.2927910691447	13.454733352840499	13.490630721956402	12.010334784404199	11.5481724034217	11.4383647516869	13.007672598928401	11.5002505424036	12.1050168312695	12.495843410397198	11.7776359331724	11.5848343131819	11.502744620234301	12.955852555173399	12.654987299156101	13.835300277077698	13.8414640662727	12.4468617044818	14.5555967898664	10.819563327575299	11.126377681321198	12.8958206913915
hsa-let-7b-5p|0|-3	7.1635700289641795	6.82838205245166	9.237316151880359	7.93347944210827	9.28453006606351	9.6379442002995	8.50729332231942	7.13980700612875	8.742520749356931	7.42558315857954	8.19036884310841	10.5189259512166	8.0305728030967	8.46328698786592	7.118325567336509	9.91484308766583	9.18668234147727	7.5407235882268395	7.10143306771973	7.409810264283919	8.4990958819577	7.3345621436945	8.56262085215075	9.125415890150721	7.576957941884099	7.2683036271998605	7.0611993039728	9.517870216657029	8.14680863249591	9.423917220955198	9.423484245076631	8.54246998993973	10.2802182809649	6.8372887763798	6.94263144371259	9.20955849264358
