	TCGA-FA-8693-01A	TCGA-FA-A4BB-01A	TCGA-FA-A4XK-01A	TCGA-FA-A6HN-01A	TCGA-FA-A6HO-01A	TCGA-FA-A7DS-01A	TCGA-FA-A7Q1-01A	TCGA-FA-A82F-01A	TCGA-FA-A86F-01A	TCGA-FF-8041-01A	TCGA-FF-8042-01A	TCGA-FF-8043-01A	TCGA-FF-8046-01A	TCGA-FF-8047-01A	TCGA-FF-8061-01A	TCGA-FF-8062-01A	TCGA-FF-A7CQ-01A	TCGA-FF-A7CR-01A	TCGA-FF-A7CW-01A	TCGA-FF-A7CX-01A	TCGA-FM-8000-01A	TCGA-G8-6324-01A	TCGA-G8-6325-01A	TCGA-G8-6326-01A	TCGA-G8-6906-01A	TCGA-G8-6907-01A	TCGA-G8-6909-01A	TCGA-G8-6914-01A	TCGA-GR-7353-01A	TCGA-GR-A4D4-01A	TCGA-GR-A4D5-01A	TCGA-GR-A4D6-01A	TCGA-GR-A4D9-01B	TCGA-GS-A9TQ-01A	TCGA-GS-A9TT-01A	TCGA-GS-A9TU-01A	TCGA-GS-A9TV-01A	TCGA-GS-A9TW-01A	TCGA-GS-A9TX-01A	TCGA-GS-A9TY-01A	TCGA-GS-A9TZ-01A	TCGA-GS-A9U3-01A	TCGA-GS-A9U4-01A	TCGA-RQ-A68N-01A	TCGA-RQ-A6JB-01A	TCGA-RQ-AAAT-01A	TCGA-VB-A8QN-01A
hsa-let-7b-3p|0|-1	3.8345466013089	3.40442345706942	2.4579429003843902	3.53412847087709	2.4504896512884	2.66524910883715	2.51933779635333	3.6610392385172896	3.02286957866293	3.1056976659530897	2.4872590108698702	2.6535880895600097	2.85609839806397	2.26316951425648	3.21182269690989	2.96084543495431	2.9824102238202297	3.0241303179738503	2.61493109022144	2.84426879386694	3.22831729817673	2.63747305290017	3.0348903970926	2.62534212344602	2.65497949618254	2.8260353445672797	2.81767176737674	3.4398627940269	2.43952906138476	3.1775204533585204	2.65991734669092	2.10490097166269	2.6651519202130296	2.88393849149069	2.9116252009883397	3.25316178760368	2.97801669475352	3.4640254607055496	2.37737816400208	2.43194813943593	2.7337897947939105	2.7630583157460697	2.89644000738412	3.48050140553021	3.6018511865589398	3.1863635259454197	3.2074718610428303
hsa-let-7b-5p|0|+1	9.292293216306199	10.3147561802579	10.480296191310801	9.94273774345648	9.9425434141427	8.42308539462652	8.51097254221518	10.0231420785323	9.41263170322275	8.37391676688014	8.17033039480668	7.6602377959404695	8.36404543471961	8.29272182627101	8.20757332055194	8.40037643502642	8.605307873939001	9.70723791894094	9.15994610966132	7.81507398198326	9.050610956111859	8.75096453888588	8.15493816942651	7.61403637559693	7.910678820055421	8.02843326623953	7.769085962132309	9.229977630938599	7.53157687505169	9.724967094899519	10.680561943452	10.713029677430098	9.77180176602782	8.3752428215519	9.665506510677579	10.0918669858226	9.17779471740877	8.54031420475733	9.40100399041501	9.39175264149152	9.54508994321127	9.20936003990749	7.495994246686901	9.04561568226256	9.83922757388313	10.0937640751379	9.422472554989001
hsa-let-7b-5p|0|-1	10.5588321222643	9.78507377946739	8.9831362682084	9.95465796737349	9.91314486543965	10.277825492791301	9.21301833733477	11.1028569474289	9.94057771237164	10.2598822940476	9.5883633689978	9.48911790964279	11.184268833028	10.396373916678598	10.066461994087401	10.6525515516288	10.524770005163198	10.5965849433448	10.335449830838199	9.54518437895934	9.807856137765132	11.5723259524298	9.91253008718568	10.165015721923	10.0007740861175	10.4756429575672	10.2420396308844	10.2621441922629	9.57448264155876	10.0655454443102	10.0193597714331	9.86685427751061	9.57217756927775	9.19307574982834	10.917318875788698	10.7266784513254	9.72695460967176	9.212058208937949	9.98491039334284	9.9153646822206	9.90894838520702	9.6299911948286	9.42112052987097	9.322440535239028	9.883969316497359	11.238246084157698	11.1053231677175
hsa-let-7b-5p|0|-2	12.5029747258444	10.9421551572444	9.959089027576232	11.175339252927499	10.9293825636576	11.0676779534541	9.79611125849696	11.768469371261801	10.8345342046694	11.640613863588099	10.8457967551469	10.750951234783	12.5099002031411	11.751348511133802	11.5641165644908	12.194425624976699	10.1291828763199	10.561050801246301	10.7874118206894	10.5429266721547	10.824916846459901	13.451255031370401	11.3659563613902	11.3472178960654	11.548370706295302	12.409837530063902	12.0433829040669	10.714874266775599	11.026672205111302	11.1308084299932	10.647449864495801	11.009534668274501	10.460708360396401	10.6122196755455	10.9710628395866	11.389683362412601	10.7592748605124	10.087862109827501	11.14602714929	10.788642424561699	10.6894618297401	10.710836258288	10.840685504271601	10.278113487316698	11.124012321742802	11.8947620588972	12.833976758378599
hsa-let-7b-5p|0|-3	8.801529778695368	6.6863121112061705	5.333615700458441	6.799367104039121	7.18389516851346	7.81305730155681	6.050618430549231	8.11169004034539	7.2319695742880405	7.966740922394661	7.11816810239064	6.86478799208644	8.99243082303826	8.36310022488087	7.86393190391587	8.54012405892834	6.96147767995512	7.466013051681791	7.425128990138671	6.61812173807369	6.710346161765631	10.3324230911406	7.78860610813861	8.03165782880903	8.16547088562996	8.63605707250871	8.95647290781666	7.259369940579949	7.27291803588418	6.62062445571648	6.64960697709499	6.7233309483345804	6.6580589806841095	6.85137929484632	7.10015925205786	7.40185342563972	7.613247388514769	6.89982780238109	7.93858825170663	7.20905584632357	7.18116409857885	7.224651288714321	7.4830575756045805	6.57530976996047	6.525601198547161	8.370982505020619	9.276231166865712
hsa-let-7b-5p|0|0	11.692025197927599	12.0850013236862	11.957797829783	11.950814510936901	11.9190642557441	11.3748141949506	10.7428132291101	12.4254377673211	11.5231642387289	10.9245199587062	10.490558349041699	10.3375210712829	11.770899580535099	11.066394345523	10.8217844515589	11.338676476663899	11.4368480574026	11.9878440297994	11.603991113366598	10.610158463827	11.0665138273061	11.742401498194	10.698308813649	10.5995511481275	10.645506719645999	10.835138824477902	10.6486462654605	11.6308632178372	10.327724427153699	11.9211840560777	12.4794584741294	12.342415170522198	11.824388826893301	10.5544667738067	12.2016879640308	12.159462307885699	11.101916406255	10.3548826494074	11.3201219684194	11.412583599383	11.3495032066805	11.073531395898302	10.041566769627499	11.1401432727967	11.7308145554825	12.418484557500902	12.050007044912501
hsa-let-7c-5p|0|+1	3.92523353600067	4.39565496825571	4.8342943518654105	4.58397427083271	4.31154027909564	3.3339569333155095	4.25676071097684	6.2083270984178	3.4566690845725603	2.19934941437194	1.84458770298866	2.12160951954003	3.9773147608898505	1.53616471500994	2.72224937805429	3.84325073786887	2.9824102238202297	2.9726071723763696	3.4475989610154505	3.1460151637600697	4.94327413259843	2.4702048354965003	1.5384284234810799	1.86602687395916	1.1402394103324098	2.31013584774587	0.41805420775698704	4.4712769216830095	2.00604816180147	4.66789347609519	5.01613140010537	5.1159138126581	5.66143675401872	2.06723001406938	3.68099209106199	3.7783431880730998	3.03416386207411	2.00379097491876	3.30392341579998	2.2534402954653197	2.10333124559616	3.0297202360907503	1.8392933485791698	4.655055724850611	5.031653607505441	6.386327787018669	3.72586639044926
hsa-let-7c-5p|0|-1	6.381541480997489	5.23306573194642	4.80560019952932	5.590266460139941	6.48103845060112	5.976892228473281	5.4992346776315495	8.1377289613946	5.2023129984414105	4.39759592486256	4.6212590056844	5.40790917730003	7.4290412882458305	6.09714680445994	5.81224743238551	7.2791206468236105	5.385112514189251	5.42470046857862	5.6981535802300405	5.407087881277651	6.703924186048651	5.348222324043809	4.2945844428209	5.686519207413159	2.5987318126835803	5.2422947775018205	4.42650503642364	6.69976449468713	5.01679778667701	5.40420626991161	5.7070745884707	5.70531652385149	6.12298233439537	2.62879003825804	4.78169574047307	5.42722176150643	4.75235664623271	4.36235837781891	4.2413318383323695	4.310407482365401	3.8737165680234904	4.34301395357969	5.082103297351231	5.667930334388419	6.591189443016651	8.141846071496179	6.33765558227489
hsa-let-7c-5p|0|-2	7.183759341478809	5.036341410166781	4.06437814363849	5.50636884153079	6.108162403147429	6.27445115105237	5.39116848993935	7.964879624028879	5.04767878450212	4.587106147099861	4.93820634307835	5.48380619692624	8.08540737650558	5.9497028328380095	5.96783949456085	7.61980722823092	5.31861045766517	5.073734104838961	5.62011218303391	5.578283631473511	6.31472115848486	5.7340072702197	5.0970971698347505	6.12716561399873	2.86031032577973	6.041584051809809	5.30940513113146	6.27335679547119	5.46730756204482	5.02834949728405	5.26752745318078	5.12958502276315	6.169620148279741	3.0319823849043597	4.52486020330681	5.17409845608608	4.89563331135775	4.46425476927837	4.289750388827549	3.6211206751884903	4.34419118615727	4.41933657437649	5.61534906167775	5.83622717698917	6.710114973924219	8.255868383892091	6.70860578907304
hsa-let-7c-5p|0|-3	5.27200356044263	2.82817647336603	1.9293951187523801	2.6184878850560804	3.2381460283092203	4.4310858912381	3.29477129953037	5.24178152935342	3.38465355444545	3.27273984444735	3.2687851712270497	3.51199869663609	6.07417810985399	4.35595387329065	4.23752584540433	5.86126224898699	3.4647735228316896	3.16850148774359	3.30523535992885	3.46256561886805	3.60434692661112	4.5251254381710195	3.48011276848687	4.48559836648455	2.4791965923367103	4.33538078237442	3.71154711949155	3.68056775178891	3.32918285233032	3.08619055370807	3.14403877147054	2.65138277455944	4.48360710852283	1.58219847968872	2.6556451898102797	2.76490641873246	3.4186174804345093	3.2524489347055	2.54632449614694	2.0496845706016003	2.62784186928843	2.82047977276973	3.8932278216172005	3.9557681809537404	3.76231411263031	5.90406937272483	4.89267063168441
