	TCGA-N5-A4R8-01A	TCGA-N5-A4RA-01A	TCGA-N5-A4RD-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RO-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RT-01A	TCGA-N5-A4RU-01A	TCGA-N5-A4RV-01A	TCGA-N5-A59E-01A	TCGA-N5-A59F-01A	TCGA-N6-A4V9-01A	TCGA-N6-A4VC-01A	TCGA-N6-A4VD-01A	TCGA-N6-A4VE-01A	TCGA-N6-A4VF-01A	TCGA-N6-A4VG-01A	TCGA-N7-A4Y0-01A	TCGA-N7-A4Y5-01A	TCGA-N7-A4Y8-01A	TCGA-N7-A59B-01A	TCGA-N8-A4PI-01A	TCGA-N8-A4PL-01A	TCGA-N8-A4PM-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-N8-A4PQ-01A	TCGA-N8-A56S-01A	TCGA-N9-A4PZ-01A	TCGA-N9-A4Q1-01A	TCGA-N9-A4Q3-01A	TCGA-N9-A4Q4-01A	TCGA-N9-A4Q7-01A	TCGA-N9-A4Q8-01A	TCGA-NA-A4QV-01A	TCGA-NA-A4QW-01A	TCGA-NA-A4QX-01A	TCGA-NA-A4QY-01A	TCGA-NA-A4R0-01A	TCGA-NA-A4R1-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WA-01A	TCGA-ND-A4WC-01A	TCGA-ND-A4WF-01A	TCGA-NF-A4WU-01A	TCGA-NF-A4WX-01A	TCGA-NF-A4X2-01A	TCGA-NF-A5CP-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-QM-A5NM-01A	TCGA-QN-A5NN-01A
hsa-let-7a-5p|0|-1	9.289995372105269	8.68142496595453	11.0314838606868	10.310874427944501	10.0851285279979	10.4547352368214	10.5972630606948	8.64122067078537	11.1055260248872	9.91198329813896	9.616989461145929	11.0842469664633	9.44248762341119	11.0730556700507	10.890079437462198	9.3320679984594	11.8690044956592	9.14507728410451	11.3210668992625	8.73256622715521	10.667313451819199	9.78215382153439	11.0421436569596	11.607588457373199	11.465579648744098	9.6958009626875	10.0136775889686	8.84413069279034	12.128790533624699	8.86148226754829	9.97495844919167	10.832793738434	10.4463096588067	9.105293833234331	10.1398697072958	8.49446353012371	11.877191569939802	11.734988938220901	10.256369969357399	10.117224401167698	10.584101741629802	9.069421259249859	11.257704827505698	10.6242183767997	8.48140690106684	11.3315305145077	12.5457537990894	10.746590050648901	10.195220963538999	9.85881818075782	9.97938823725457	10.205520218129	11.3702241094076	9.12964085173648	12.731634414619698	12.011525899149001	12.603266260272902
hsa-let-7a-5p|0|-2	7.32042039562965	7.88387169802481	9.63663140977561	9.076830435432921	8.94554166836799	8.87001640223073	8.9958856826188	7.8443212645051394	9.72252110355851	8.63508587522297	8.22497979898646	9.36098272916392	8.11119928925188	10.6647253510935	10.140202859820599	8.06197537788883	10.410757734368199	8.28947712478728	9.91934840598223	7.49909439275524	9.04216931007863	8.50305652562254	9.797665276399009	11.2264924771036	10.0876128500565	8.145249441595121	8.22839429226728	7.23532230790519	10.9609569473784	8.38252031651131	9.240404397031519	9.95082224277608	9.48288322698524	8.40215669239538	8.992251189568991	7.132821885378901	11.415943783679301	10.3928280920805	9.43488174802862	9.02509975096858	9.45486257491399	7.54337107998541	10.1696448623805	9.06385591010461	7.61396553542691	10.058147482324301	11.0340533502794	10.0408011262839	8.85160812091811	8.80770616696678	8.57534174536831	8.641766186171429	10.551737841816	8.02385197984303	11.3759785749428	10.8244810963769	10.9308530569135
hsa-let-7a-5p|0|-3	3.3737966522702796	3.32404372776717	4.27496595150415	3.5072054650341404	4.48445684604846	3.85956448932239	4.25787890110658	3.1142066575398397	4.473436787592111	3.7942907147787404	3.38178937128271	4.63779469794461	2.73263952478527	5.33804920552446	4.886781707117731	2.84175249388402	5.216009181718991	3.2967309429808904	4.5733717507057	3.2922889430230295	4.6724772943587	4.33437230237003	4.6714591401896906	5.29566376873407	5.11609233528655	3.48795514241572	3.6497311654463	2.97530023603545	6.12677255981454	3.6806339720705497	4.32259681867807	4.71292232443879	3.61200854213407	3.9519327523998	4.1535423625224	2.70921633364553	5.99690074100029	5.2789274862747595	4.20721905323715	4.36454366245537	4.806497717285191	3.33101735842169	4.71738785723849	3.9444416110860803	3.21747876421512	5.37619475992503	6.22554768780881	4.52626990678937	3.88681011860552	3.5977495532627004	3.92838694715196	3.54839270438604	5.0164204841114195	3.73257973032027	5.891486677782299	5.25272553379339	5.63250387983114
hsa-let-7a-5p|0|0	13.066618358259001	12.4231058217821	13.1135901704044	13.1655545003564	12.6768051288362	12.965109055571402	14.0669504550509	11.8295963071293	13.2152139271801	13.0153789987524	12.673466137697801	13.7702695034321	12.434798662068602	13.178606889995502	13.037290236534	12.1725256234229	14.210631584031901	11.8176695494431	13.531758963137401	11.273371050673198	14.1891193054808	14.1133167129312	13.9529028566449	13.5002983137926	13.965716281036599	12.807449000773802	12.9936062426918	12.586770755764801	14.3911266907974	12.1636150297769	13.161752104100499	13.3245897154411	12.366013827498698	12.681850815489	12.8425707836092	12.3261455796032	13.6156207832356	14.300915226423099	12.1700146914955	13.265740471638	13.362988198359199	12.2312274911749	13.3544573694819	13.1482303936451	12.249337440853699	13.4656365562685	14.7491847659713	12.877467479484999	13.500473161729698	12.768300838979199	13.003456457056	13.0633257725073	13.5221149474773	13.2112249390565	14.512556570483301	13.8600514296946	14.91745675511
hsa-let-7b-3p|0|-1	2.0433522660089	1.6082366959851102	1.57591032126706	2.10035924859038	2.4095077086554704	1.61200848616256	1.73316023232802	2.06738594538515	3.08194324870682	2.66400844513343	1.9542013255706299	2.3695403054357795	1.12194178954012	3.1823348216253002	2.8144597648832796	2.63107312155058	3.6401657965337795	2.7833676663389397	3.8791751289093703	1.70933652078631	3.0000473138572596	3.1963534030922998	1.89542878080716	3.7823521800984	3.54055398766959	1.2293972843550902	3.13409758612431	1.94863218331636	3.5929137608777704	1.23337984349566	3.08913134584185	3.0841994484777002	2.14574665048367	1.7375960464952	2.5284335826359503	2.06900076289268	3.08149999226276	3.68037226812464	2.51749306932718	2.3952767912244104	2.7697595042999397	1.8145733065449599	4.159588152659589	2.09186621085908	1.86450031918854	3.80177741710285	3.51014723282952	3.8381387608440094	3.20095026071078	2.3933284707155202	2.30293986662634	3.61621452239863	3.7239326752205097	2.24034772071653	3.97067548477902	3.0680588076679904	4.229926797578569
hsa-let-7b-5p|0|+1	5.871899912711839	6.0297179078993794	7.6055893532461205	7.77665238390543	8.44000677628956	8.756003374945589	8.81112982078402	7.346931771091651	9.43303974343857	7.60303981136661	7.499907960288191	9.256063733923071	6.91315201507782	9.63798754496263	9.048487505829211	8.611999755228421	10.908649416503401	7.28049336113132	10.3169174742333	6.45666617878201	9.86062373299761	8.04687728621955	7.04570157348886	10.4949351944899	10.6406400243882	7.02336907878063	8.48627083865241	6.26825154070922	11.1888774706264	6.69611963029153	8.95608332687459	9.35603059405074	8.30345764163147	7.261004005888751	7.87341729648144	6.42647482724748	8.28255278435422	10.7414014200189	8.339555864493	8.42229793151338	9.34295127890958	7.541422734804981	10.5035415022449	9.68556496291297	6.14585883424047	9.601748894429821	10.7990421867533	9.61734677981725	9.47050285649803	7.29649963373311	7.44019990709509	8.986587547656109	10.3207649998561	6.56224616435116	11.363594623840802	10.6192583905888	11.825061198870802
hsa-let-7b-5p|0|-1	6.599945293165409	6.986361952615429	8.31944894160989	8.0335850902774	9.04066876013445	8.30234631761633	8.5063282751649	7.94490718340036	9.360024898872911	8.52993870945042	8.26672822027722	10.074446802991499	7.33293417003457	9.993713940400731	8.56103378904808	8.34442809241528	9.68040461012502	7.97490114037565	10.4556970999155	6.725883302130151	9.70597432981771	7.99159609330054	7.596927932397441	10.400538160039	10.8459820888956	7.292000564038099	9.22029651723224	6.978207072306369	11.4443211135867	7.560813171280969	9.22521065434569	9.284180270941382	8.62046684262279	7.4993237620732405	8.27215334375132	7.22611013537563	8.95888620578121	10.716135470878699	8.87213305945844	8.20537427818513	9.58677941978468	7.81418166337344	9.941137734842721	9.9148484942376	6.60042450689461	9.77188092101308	10.764087699363598	9.57699659136911	9.25756473684315	7.374589846931991	8.39512111503939	9.34808031389334	10.436251789007802	6.90933508883559	11.779738546839	10.5610490327718	12.302512575483698
hsa-let-7b-5p|0|-2	7.54202635344581	8.01762976216016	9.20639842658983	8.904788240958881	10.2419314146904	9.883810295960581	9.7554532151095	9.90589397674199	10.7019585425673	9.80159827852728	8.97810145412223	10.6541205878982	8.24923277051174	11.866161740974901	10.3154798773318	9.75053903371911	10.9553328072805	9.37129563638015	11.722173609750302	7.837437503369911	10.173522966210001	8.54480342535586	9.46374571038857	12.656887157599499	11.610437658830099	8.54176400374958	10.8678401399623	7.997447452241611	12.921098846817602	8.706794511874241	10.264204397387301	11.0053501192905	10.2864641884165	8.81047020343764	9.46235278811365	8.435310340792691	10.9804701839663	11.8820383459506	10.927712945089601	9.266190078891901	10.201415707231	8.61832469827108	11.137101622285302	11.025629638431802	7.551495311626941	10.817628495476301	11.589136052035698	11.0717931499138	10.1993966376199	8.33793748747685	9.933239915417	10.468350973109699	11.5217339072556	8.18764172264221	13.523598935002502	11.848927322833099	12.359198763620501
hsa-let-7b-5p|0|-3	3.4271125815653902	3.8188766141117	4.7976729268706295	3.96995712877738	5.60353542107844	5.1566911990738395	5.40521082841458	5.610847202667849	5.824440276214401	5.90763739368968	4.63219390415634	6.38407978669531	3.6740052939361503	7.35309636479735	5.229778472423259	4.77077673361966	6.16133778366416	4.700963719075241	6.8700897393318705	3.5411570355106003	6.12589723153263	4.9950435673178495	5.00052777736394	7.75894852435993	7.13546046946939	4.1653569293869595	6.42399051819441	3.72279653755546	8.56158295574863	4.623252530296781	5.91025198622031	6.16953548167997	5.662933998306251	4.470456524823019	5.29114650132915	4.520144920582339	7.3265553229440705	7.358623734721331	6.1209451863945805	5.13982444836754	5.81479266061154	4.469069910507639	6.3955054670340505	6.277693429980969	3.48392231606324	6.28934617905584	7.23830808793677	6.05244903211316	5.619835015177681	3.6256384866158395	5.334361965233639	5.98887655181687	6.9634709710093095	4.05705677615063	8.31277533820885	6.90407708132454	8.410581319451211
hsa-let-7b-5p|0|0	9.32245557464296	9.90540824625063	9.96187978770274	10.270970587512501	11.2195392251356	10.3739849012089	11.125991409136601	9.435768702532961	11.216389473127599	10.5567859407502	10.6201756588608	12.0808644143961	9.65738603474356	11.754897068995199	10.4995527980849	10.5548424571958	12.1013688803113	10.5060545460502	12.458484456881699	8.50921492490119	12.6619805800627	12.096233910680402	9.286554441308631	11.9986257654696	13.2020976407372	9.53408183489873	11.2171962289362	10.193951955578699	13.139529962885499	10.258358371139598	12.3296799069509	11.4277330631247	10.0510904997299	10.1949178775395	10.544006293000999	10.228711628156	10.2280002784981	12.785139706177098	10.512179784158901	11.0370141199515	11.754195228579901	10.3410047231457	12.0422412080199	11.852143142223001	10.183679051556	12.1597308814025	13.026706864616802	11.5669301857461	12.300386363248998	9.907553589922731	10.744487107869698	11.435940197679601	12.4085439811954	10.4069328986687	13.3241909308706	12.050721703150499	14.432900152933302
hsa-let-7c-3p|0|0	5.198027662789019	6.619376567730969	5.655317591414209	5.21605811744719	6.63370529690508	5.0326756295509005	5.32381984263403	4.65841821654712	3.3212056793737204	7.45857258441107	6.5091218703290705	3.71000924874013	5.51421975910095	3.84173978406941	5.546449917620669	3.4679384894181697	2.4358404841810297	7.94363209599438	6.74133086482687	2.3140241768192897	8.14641041231517	7.04845781482124	4.36361561422525	3.22229607085249	5.41476593837662	3.0925905347754705	4.56258090542478	5.760155982476539	4.27177423887093	4.34014887218573	7.61313655094713	5.53084207958582	3.2574678918424	5.42191578883677	4.52236587942153	6.40487144813527	2.61060348444232	3.0755295339654602	6.50675740916116	4.67480491765802	6.07468202075884	4.45257652981791	5.194465078335099	7.85020557176872	6.1496978315452	5.3921663945751	5.93993628537714	5.9318898319142495	4.8572404612646505	2.3269298745154803	5.2159994483725995	7.33534262698757	0.0	3.31328394611996	4.8026990232152	4.29722694519992	0.665065073836271
