	TCGA-KL-8323-01A	TCGA-KL-8324-01A	TCGA-KL-8325-01A	TCGA-KL-8326-01A	TCGA-KL-8327-01A	TCGA-KL-8328-01A	TCGA-KL-8329-01A	TCGA-KL-8330-01A	TCGA-KL-8331-01A	TCGA-KL-8332-01A	TCGA-KL-8333-01A	TCGA-KL-8334-01A	TCGA-KL-8335-01A	TCGA-KL-8336-01A	TCGA-KL-8337-01A	TCGA-KL-8338-01A	TCGA-KL-8339-01A	TCGA-KL-8340-01A	TCGA-KL-8341-01A	TCGA-KL-8342-01A	TCGA-KL-8343-01A	TCGA-KL-8344-01A	TCGA-KL-8345-01A	TCGA-KL-8346-01A	TCGA-KM-8438-01A	TCGA-KM-8439-01A	TCGA-KM-8440-01A	TCGA-KM-8441-01A	TCGA-KM-8442-01A	TCGA-KM-8443-01A	TCGA-KM-8476-01A	TCGA-KM-8477-01A	TCGA-KM-8639-01A	TCGA-KN-8418-01A	TCGA-KN-8419-01A	TCGA-KN-8421-01A	TCGA-KN-8422-01A	TCGA-KN-8423-01A	TCGA-KN-8424-01A	TCGA-KN-8425-01A	TCGA-KN-8426-01A	TCGA-KN-8427-01A	TCGA-KN-8428-01A	TCGA-KN-8429-01A	TCGA-KN-8430-01A	TCGA-KN-8431-01A	TCGA-KN-8432-01A	TCGA-KN-8433-01A	TCGA-KN-8434-01A	TCGA-KN-8435-01A	TCGA-KN-8436-01A	TCGA-KN-8437-01A	TCGA-KO-8403-01A	TCGA-KO-8404-01A	TCGA-KO-8405-01A	TCGA-KO-8406-01A	TCGA-KO-8407-01A	TCGA-KO-8408-01A	TCGA-KO-8409-01A	TCGA-KO-8410-01A	TCGA-KO-8411-01A	TCGA-KO-8413-01A	TCGA-KO-8414-01A	TCGA-KO-8415-01A	TCGA-KO-8416-01A	TCGA-KO-8417-01A
hsa-let-7a-5p|0|+1	8.70340528947868	7.77973148293749	7.17882575590169	7.31730209228253	7.89790956327774	8.02804739330201	7.898638420708281	7.507098660038969	8.42779206141292	7.32415148529724	8.34626367253014	7.95767430831354	8.18524761583995	8.33633171082201	8.38312214301835	7.49581451316161	7.840976985263751	8.66590274582147	9.559647273245519	8.515524319307309	6.23501895287194	8.08113584697752	8.52546904613343	8.11617991185491	7.79456894752957	6.463908212656469	8.21097234902501	6.82377282511839	8.03419845105015	8.482067546158481	8.157876543904951	7.36890367056816	8.07215511759627	7.982590235164761	7.51455418408304	7.908180220464281	7.817125167874299	8.10571196693522	7.53436545675112	7.82411148256693	6.874229990046429	7.337045684804469	8.35534825067914	7.9784622644882	7.07665471241645	7.632216405156631	8.0708289788752	6.45543317341613	7.551887880077231	8.05868823530675	7.7424798142943505	6.73041456656266	7.8735830924548305	8.54359074751859	7.4647649403164005	8.60859371149089	7.590307861447589	7.979673926799741	8.72472395108704	7.782970610872071	8.06345854793985	7.42293203218708	8.19195666515766	7.38190568538962	7.43881323188877	8.03041408786207
hsa-let-7a-5p|0|+2	2.82164758644704	1.28825216346745	1.1468320510984298	1.6560010551477	1.8999371945670802	2.26232023710069	2.5362092991525897	1.63746367945698	2.86752558348705	1.4224287554714599	2.54508522186423	1.75065832413585	2.27684280115449	2.34581190090521	2.2418227809109	2.03446846920468	1.83129912728529	2.5371129917553397	4.02015342295976	2.4261215006115897	0.976545228199346	2.34575612239656	2.60382271219389	1.49921269018163	1.6431750625913502	0.72786958284689	2.4396901496190098	1.47416044442664	1.8446229026214298	2.40079415149875	1.7869512934100902	0.9001290286415501	2.29656513439591	2.30004002170134	1.54041449611256	1.69672229847597	1.57410072917692	1.7725152016460801	1.5890586722654398	2.28784189149493	0.915483455335268	1.8071697559667301	2.6029127855336602	1.54019469264468	1.0529344176861501	1.40240508850527	2.23110153865497	0.7889550352542719	2.2014079336013	2.19018690009718	1.93886863578353	1.02749534868613	2.49852466199253	2.78581356257272	2.01117105198878	3.0004594635158903	1.8889441385641799	2.00396203118811	2.7630066841833596	1.0879927572083299	2.13825021697209	1.1883274969784499	2.8992359787832402	1.5373111549641498	1.5752849421962198	2.18068746378961
hsa-let-7a-5p|0|-1	13.8362807515346	12.659399220474699	12.4981465652021	12.048305817277999	12.813557933878501	12.5953617429997	12.7957822151037	12.341870266257999	12.950618184609098	13.1402182094739	13.6038691545367	13.2426790189394	13.495671419488803	13.359797126375401	13.711452257361099	13.6448729605891	12.7166450185765	13.4523527196838	13.7285517800556	13.73346831054	12.1641754439033	13.2488312915959	13.780337344012402	13.5478611216418	12.591596555199098	12.682175314647301	13.311939001096599	12.406643292015099	12.820968454244401	13.3473022474752	13.210292894457801	12.0935095589989	13.516508767399301	13.122738380819499	12.9271578389644	13.5582539080019	12.7617085890196	13.1879055588059	13.0772327892425	12.981093760153199	12.717893608850401	11.982148771389301	12.6711135846382	12.8502567335204	12.111582109012	12.4002055477864	13.2199903395351	12.238794279036	12.741220471225299	12.350996786407402	13.033827885973999	12.445556633773	12.9154417263009	12.2746663918131	12.492327723371599	13.6452420897192	12.7307281088115	13.0544475445172	12.9878710951242	13.614842320254299	13.086451861713199	12.800981867753901	12.8729484473913	12.848999516808501	12.817757891675802	12.932421189268501
hsa-let-7a-5p|0|-2	12.735914448471402	11.830283595722001	11.8947195546651	11.3662312314662	12.3259237634478	12.1468603802331	12.607750445961	12.217857307006302	11.9068240810515	12.699406116135199	12.860323619621001	12.4489955523245	12.719615551466699	12.4107900654658	12.6708927443755	13.008707870484901	11.8598849015572	12.5770562160677	12.416194559391698	12.7593221540979	11.5730295802245	12.1180723595029	12.7447597795764	12.5569515556458	11.992703498134999	12.3092391785235	12.3457091519691	11.560470995573402	12.0824936835221	12.345587728556199	12.042969156917401	11.141640421828198	12.2789587106611	12.5025456812404	11.8730158179423	12.481328620531302	11.8188508168382	12.360231906561198	12.3893030179978	11.996331334472899	12.0207330828582	11.0363560705466	11.6744606495729	12.0565413077776	11.2825129728246	11.655501998921402	12.5517013134325	11.7366536166916	12.0691131899317	11.696545342294	12.1896739023691	11.8082149739626	12.3579756684501	11.111642189838	11.8456640028442	12.7514831721412	12.0966061170994	11.683952175810301	12.4518064316116	13.5823226761236	12.2712808357305	12.4353305507404	12.2722587968081	12.260729629542599	12.2442490287602	11.7234473420968
hsa-let-7a-5p|0|-3	8.240868141080801	7.05237113174093	7.17882575590169	6.626000843013671	8.01585892326611	7.410290081779361	7.781905483329821	7.24667837997072	7.44555316492494	7.89047699041262	8.15280530815604	8.03532619048756	8.21386427489786	7.80444588934966	8.46311898841625	8.57443501407306	7.17272880650509	7.99336442632382	7.90578535866333	8.0927469199054	7.23471004820803	7.448702046394651	8.213784370399539	7.9801454760207	7.10262117391424	7.4298674536144995	7.63630757327651	6.79765623388011	7.38645865112107	7.741309602568071	7.5700205164443695	6.71353012144801	7.8943575233117	7.70225783519822	7.12025143261273	8.08617688520111	7.217773889961821	7.79222908871627	7.96727557610674	7.5243088102664	7.66256682050148	6.14949153190211	7.063093721214059	7.26366356184672	6.69041642719944	6.74516235681462	8.05626807351625	7.196824079406	7.50160694012977	7.1570787038987005	7.890386859553749	6.97800024382514	7.85800127010998	6.460794680672491	7.17665992874084	8.15918342737893	7.510880537482881	7.22279874488865	7.71637376233312	8.8224736277316	7.9222081391424295	7.628046300278291	7.41584860144884	7.874081025243009	7.91181528198051	7.22719171588269
hsa-let-7a-5p|0|0	14.321360359111303	13.360989805474698	13.133333550556099	13.1580136523476	13.2091236540749	13.181634691263099	13.105344503177099	12.836504769544801	13.630246939546002	13.6257292115132	14.105143506991999	13.794309312475901	13.922038643299901	13.9188676514381	14.029921316809098	13.6443819918613	13.3519120613349	13.9937695185816	14.774647030134899	14.276361929997401	12.728895937698901	13.7928145671138	14.2710314378653	13.907254662906698	13.197288293881499	13.1085019948283	13.903743734746802	13.0389696377946	13.3551859938554	13.7304034981114	13.8212857672648	13.4042921663401	13.9699792038314	13.6621561735024	13.684894383023	14.0388372439049	13.267245172919099	13.942915775725998	13.4243345642921	13.6207596432179	12.988668119430198	13.211107658065698	13.6374968493036	13.334135568905301	12.960634090404401	13.1322506703741	13.564974320595	12.718014719509	13.1223313729707	12.9616284096067	13.5651894926841	13.129017947232098	13.3768082429649	13.4354722874705	13.078370068686098	14.2603801130302	13.266537029409001	13.713824971614	13.6577232065561	13.785320847108	13.5777260406617	13.263124521452198	13.305024299161401	13.281093056786	13.0950875013394	13.645289656877802
hsa-let-7b-3p|0|-1	4.35906044017125	4.25012772189331	4.48878026949006	3.8466537685977404	4.761522421737499	4.18594620557523	4.288940542699851	3.2882896258277796	2.72210138853415	3.58339791519252	3.7252405973933	3.42708633065965	4.338482380183491	3.2360554355992095	4.027298096458661	4.27433021495683	3.11698368994919	2.8570936984647797	3.87799638864562	4.280603825430751	3.82388875801965	3.81096187792612	4.71319675719783	4.2060877037800495	3.5382432432011	3.2275012567667205	3.538613249224	3.77626887655772	4.400738653566861	4.58556594528812	4.86714339982415	3.1834611456703104	3.51940587867092	4.3129560293507705	4.89749383922445	4.8589982607945705	3.8466079411534797	4.90678904824018	3.54166453044516	3.78813523286878	3.67153838508721	3.0872341032134503	3.9644164211086204	3.57647004784651	3.7203276828112997	4.0462447312914405	3.4146287698181896	3.80273512401186	3.56045073059115	3.5807562984873904	4.2515990491850095	3.43181059931833	4.79408653340319	3.26567790681115	3.39888974952618	5.136373322948269	3.83515785751002	4.16148919931781	4.25900569152061	5.242957502346941	5.46256018174884	4.9266794246486	5.19107763080688	3.3562652117825	4.83145749447217	3.75187779881701
hsa-let-7b-3p|0|-2	2.3964855222471897	1.66151238760503	1.7775955180623302	1.2834942719325901	1.83237213187055	2.4509587575364398	1.93987919729333	1.5601207102684098	0.950882945545602	2.74144211553328	1.30905792220277	1.4718849112896002	1.51654289664098	1.4784621626162202	1.67198093597819	2.39057142905177	1.09568403842853	1.08474107978195	1.66676159250819	1.87023685855591	1.8139941270676598	1.7466271530510602	1.9815126161107002	1.94178976647272	1.3744239689820201	2.7175675481547703	1.3074774871733899	1.97135415127694	1.96217274213441	0.7769374647429019	2.48422622090077	0.9001290286415501	1.51531468770856	1.08498058431415	2.3686600457719402	2.17714332857977	1.14855806848051	2.47990672211396	2.07506971856096	1.2382596898406102	1.35097909728423	1.4778811232014901	1.7254674204128702	1.54019469264468	1.88239415742162	1.1879037343998202	1.7109656831962	2.1203465000319697	1.7284963979583303	1.54541802936517	1.03148213607494	2.09214015798906	2.5471702063544903	1.8958258659815002	2.06441645346786	2.37893574861686	1.8889441385641799	1.2254120982137702	1.9899618092377702	3.30239550929489	2.21073061174892	2.8612669236564	2.75328353281952	1.5373111549641498	1.4501953603217599	0.699190295950218
hsa-let-7b-5p|+3|0	1.7910582087722902	2.4133123440456097	2.27655404886605	0.7800070659976891	3.2535967330822997	2.4509587575364398	2.8734395050476302	1.5601207102684098	1.5190943304362698	1.5552670180058201	0.852854626528134	2.03710846660127	2.2394263958090295	2.34581190090521	2.03098905757474	2.2584818830302003	2.61285905393194	1.83279841375403	2.41954482683121	2.76140118781355	1.23563316311375	1.06993667748616	2.34934526803994	2.6961389739568995	1.16267596737232	0.40935921633689704	1.74851893802124	1.09972672282592	1.7820495574378503	2.24665755995795	2.31690727789795	0.9001290286415501	1.41303531125057	2.40558306044147	1.1470973338018402	2.8884365228924196	2.4759818329051497	2.47990672211396	1.1408558013560401	1.7355007370047502	2.03622325996086	2.4962125314545296	1.9716036959157401	1.9815782771952302	1.7349221743424699	2.0999138595921	2.04490934848278	1.6030758354818502	1.19248269607878	2.50084092800211	3.0546509402536404	0.918483622357292	1.96603179711274	1.3715331236183301	1.83851980643368	3.0004594635158903	2.22859792131598	1.66657993235299	1.6735970688551598	2.5322091897304904	2.96431651915392	2.7559510811166503	1.9527994050614599	2.59170716432778	1.5752849421962198	1.8883975077372501
hsa-let-7b-5p|0|+1	10.433674651448301	10.2620166440764	9.66844592798005	8.43837678249206	10.4621916769064	9.95185711809762	9.942889882496539	8.840195425993802	9.2028373933222	9.513832948891789	9.11014727971292	9.797165682005181	9.85689985846594	9.53729987470391	9.80558286065161	9.562291360183501	9.8576269038393	9.63187399696508	10.9339376426625	10.640210280991301	8.06661856054353	8.87635595511008	10.4857487345718	10.005500766715599	9.125220506697909	6.845656770827769	9.752295428203439	7.26371822766701	10.525311030060099	10.245896254850699	9.960953788780811	8.1064102180854	8.861595104669501	10.364567787997	9.35232917463583	10.300856041308	9.73408048712045	10.400006710341001	8.839016482296339	9.565390453081749	8.98653137939928	9.23865767444963	9.49026185601929	9.539567341998278	9.214949366414501	9.63207392991467	9.09276021273707	8.30245824442394	8.531093549335809	9.682048219178439	10.191520504216198	7.28979406912722	9.8178356472581	8.690199376715269	9.088320280473278	10.752403537058498	8.72958147231905	9.673863379561132	10.2198525802976	10.3297099957023	10.4533303524102	9.99111475653901	10.206333793377599	9.72427401937067	9.108960209319712	9.37387427621281
