Project	miRNA	shift_5	median_expr_5	fraction_5	shift_3	median_expr_3	fraction_3
TCGA-ACC	hsa-let-7a-5p	0	15.237208926946606	0.9973164610873686	0	14.79697163317916	0.7358277785294431
TCGA-ACC	hsa-let-7b-5p	0	13.212873254005686	1.0	0	12.395085267835437	0.6000988140529333
TCGA-ACC	hsa-let-7c-5p	0	10.27978232303812	0.9893661525287174	0	9.81521846654787	0.7654433480864123
TCGA-ACC	hsa-let-7d-3p	0	9.286699398961671	0.9616853442720765	0	8.941516014010018	0.7883196626251983
TCGA-ACC	hsa-let-7e-5p	0	12.218439066282379	1.0	0	11.731859952084964	0.7165430203922123
TCGA-ACC	hsa-let-7f-5p	0	14.16813625313216	0.9995574284181734	0	13.75190491328199	0.7863149235170155
TCGA-ACC	hsa-let-7g-5p	0	9.703982427946919	0.9771317419404477	0	9.431098779890197	0.821982518401682
TCGA-ACC	hsa-miR-100-5p	0	9.384954101143993	1.0	-1	9.218203426991899	0.8827766388634206
TCGA-ACC	hsa-miR-101-3p	0	12.352568662350606	0.6109723108711674	-1	12.69604549910054	0.7792763237142075
TCGA-ACC	hsa-miR-103a-3p	0	14.158924732281497	0.9820296913509182	0	14.09855454526043	0.9402141356564531
TCGA-ACC	hsa-miR-10a-5p	0	13.74661822077523	0.8193776396878472	-1	13.854523161029514	0.8865480935269479
TCGA-ACC	hsa-miR-10b-5p	0	17.378335210780623	0.9076212072875545	-1	17.163449395304436	0.7807747614045899
TCGA-ACC	hsa-miR-125a-5p	0	11.688983474872124	1.0	-2	10.89071997039108	0.6004736544513898
TCGA-ACC	hsa-miR-125b-5p	0	9.439698281855089	1.0	0	9.263908706283209	0.8951741267281131
TCGA-ACC	hsa-miR-126-3p	0	11.446714403009567	0.8823077527640731	0	11.583920315746164	0.9525317243368518
TCGA-ACC	hsa-miR-127-3p	0	12.44775287789509	1.0	0	12.078116939482403	0.6983026621404325
TCGA-ACC	hsa-miR-127-5p	0	11.824519391606366	1.0	-1	10.901789418115584	0.5064458727822413
TCGA-ACC	hsa-miR-1307-3p	0	9.95855134476504	0.7669480926136276	+1	10.12081773177965	0.8704471718329694
TCGA-ACC	hsa-miR-1307-5p	0	8.3062193273417	1.0	0	7.7733736675157115	0.6841725292617735
TCGA-ACC	hsa-miR-134-5p	0	11.28498237574227	1.0	0	10.662272820682537	0.6721175897867643
TCGA-ACC	hsa-miR-136-5p	0	9.111411170860723	1.0	-2	7.679727112261304	0.49188691341284363
TCGA-ACC	hsa-miR-139-5p	0	8.285180530391438	1.0	-1	7.703543188679234	0.6712652396684317
TCGA-ACC	hsa-miR-140-3p	+1	10.18843784697842	0.5402280879202113	+3	10.167244616319318	0.5455643488295205
TCGA-ACC	hsa-miR-143-3p	0	14.338982558448752	0.9889592183419512	-1	13.490071070049856	0.5493649718969646
TCGA-ACC	hsa-miR-145-5p	0	9.918494870447088	1.0	0	9.239707599447554	0.6020556681495363
TCGA-ACC	hsa-miR-148a-3p	0	15.292531542844733	0.9998358881354192	0	14.735998161964032	0.7072812958178524
TCGA-ACC	hsa-miR-151a-3p	0	9.739282127685092	0.722298086154183	0	8.973673484245444	0.43507286787859545
TCGA-ACC	hsa-miR-16-5p	0	8.057912998324774	1.0	0	7.919310378709086	0.9102702254641908
TCGA-ACC	hsa-miR-181a-2-3p	0	9.58107566009201	0.9434977173165466	-1	8.520758612765327	0.4638912371634075
TCGA-ACC	hsa-miR-181a-5p	0	11.419275940524756	0.9958947323264358	-1	10.368148635724143	0.47301764834999993
TCGA-ACC	hsa-miR-182-5p	0	12.581558292613757	1.0	-2	11.336142748117966	0.39945117304481403
TCGA-ACC	hsa-miR-183-5p	0	10.147773390695464	0.6283586531375771	+1	9.767240745686435	0.5133706216083858
TCGA-ACC	hsa-miR-191-5p	0	9.47684012486846	1.0	-1	8.32376859273671	0.44203682633171953
TCGA-ACC	hsa-miR-202-5p	0	10.877285768916204	0.9487534407449179	-1	10.550027714641011	0.7618553193300119
TCGA-ACC	hsa-miR-21-5p	0	15.985525609219547	0.9990426221879165	0	15.547067081239959	0.7408870256498628
TCGA-ACC	hsa-miR-210-3p	0	9.329616797125574	0.9883335960806165	0	9.050907101530115	0.8396898228114453
TCGA-ACC	hsa-miR-22-3p	0	17.3413132879225	0.9943366374318714	0	17.335453302889178	0.9870480700306713
TCGA-ACC	hsa-miR-23a-3p	0	11.152513378859107	0.9876963447478524	+1	9.808879924745547	0.38841377080502726
TCGA-ACC	hsa-miR-24-3p	0	8.931845336684889	1.0	0	8.467986565764857	0.7553490620139256
TCGA-ACC	hsa-miR-25-3p	0	12.497154014557479	0.9993350725510948	0	12.414318749254745	0.9367626862912215
TCGA-ACC	hsa-miR-26a-5p	0	11.080771389017393	0.9984055102970087	0	10.058997882929592	0.4936650401903181
TCGA-ACC	hsa-miR-26b-5p	0	8.582839737082677	1.0	+1	8.25635960026655	0.7722778617921991
TCGA-ACC	hsa-miR-27a-3p	0	9.085159673702659	1.0	-1	8.010934027727004	0.506628035009244
TCGA-ACC	hsa-miR-28-3p	0	11.232703014158604	0.9533012565784951	0	10.873169192422427	0.7317449291607365
TCGA-ACC	hsa-miR-29a-3p	0	12.062154033854865	0.8000989489060403	-1	11.57133644113333	0.5804272564122472
TCGA-ACC	hsa-miR-29b-3p	0	10.192604073522734	0.95178968330725	0	9.858939500616794	0.802436532414271
TCGA-ACC	hsa-miR-29c-3p	0	10.543821653027715	0.9961584833755601	-1	9.292912685985232	0.42646394690713885
