	TCGA	miRNA	5shift	3shift	5frac	3frac
1344	TCGA-ACC	hsa-miR-9-5p	0	0	0.9989376486778041	0.7347831818689567
1387	TCGA-ACC	hsa-miR-92a-3p	0	0	0.9934144144216432	0.9247243262301978
1417	TCGA-ACC	hsa-miR-93-5p	0	0	0.9961967961249957	0.9728719817554214
1384	TCGA-ACC	hsa-miR-99a-5p	0	-1	0.9767422205147906	0.8967495119641129
1379	TCGA-ACC	hsa-miR-99b-5p	0	0	0.9984753503974513	0.6890176581121594
439	TCGA-BLCA	hsa-let-7a-5p	0	0	0.9977796030465771	0.6634401784157774
442	TCGA-BLCA	hsa-let-7b-5p	0	0	1.0	0.42161880936462903
409	TCGA-BLCA	hsa-let-7c-5p	0	0	1.0	0.6711885033923912
429	TCGA-BLCA	hsa-let-7d-3p	0	0	0.9538878465707734	0.7644992782517972
426	TCGA-BLCA	hsa-let-7e-5p	0	0	1.0	0.6943310861164862
438	TCGA-BLCA	hsa-let-7f-5p	0	0	1.0	0.7661109096207763
375	TCGA-BLCA	hsa-let-7g-5p	0	0	1.0	0.8055974051959874
420	TCGA-BLCA	hsa-miR-100-5p	0	-1	0.996924130487679	0.8209036796536804
373	TCGA-BLCA	hsa-miR-101-3p	0	-1	0.6413742797957384	0.7665283417815196
383	TCGA-BLCA	hsa-miR-103a-3p	0	0	0.9850309102528987	0.9045046849085406
407	TCGA-BLCA	hsa-miR-106b-3p	0	-1	0.9267549261083743	0.8655688249001331
379	TCGA-BLCA	hsa-miR-10a-5p	0	-1	0.8199310592748652	0.8719877253812193
380	TCGA-BLCA	hsa-miR-10b-5p	0	-1	0.8984846510007128	0.761989102398444
396	TCGA-BLCA	hsa-miR-125a-5p	0	-2	1.0	0.44105930745597355
372	TCGA-BLCA	hsa-miR-125b-5p	0	0	1.0	0.8330682219865677
448	TCGA-BLCA	hsa-miR-126-3p	0	0	0.8219247455978693	0.9437225256328494
398	TCGA-BLCA	hsa-miR-127-3p	0	0	1.0	0.6149591661726709
403	TCGA-BLCA	hsa-miR-1307-3p	0	+1	0.6728847724407196	0.8564913224073099
402	TCGA-BLCA	hsa-miR-140-3p	+1	+2	0.5959234545175646	0.45368388542325266
417	TCGA-BLCA	hsa-miR-141-3p	0	+1	1.0	0.7047098705950146
412	TCGA-BLCA	hsa-miR-141-5p	0	-1	1.0	0.7120096081698122
406	TCGA-BLCA	hsa-miR-142-3p	+1	-1	0.7998020817915252	0.6102462246225542
376	TCGA-BLCA	hsa-miR-143-3p	0	-1	0.9912051165513691	0.7006212205056526
374	TCGA-BLCA	hsa-miR-145-5p	0	0	1.0	0.46899091018090566
401	TCGA-BLCA	hsa-miR-146b-5p	0	+2	1.0	0.46270729671701916
369	TCGA-BLCA	hsa-miR-148a-3p	0	0	1.0	0.6012633279913555
415	TCGA-BLCA	hsa-miR-151a-3p	0	0	0.861911645626322	0.5616943890701909
418	TCGA-BLCA	hsa-miR-16-5p	0	0	1.0	0.8501053720293641
370	TCGA-BLCA	hsa-miR-17-3p	0	0	0.8962065754804869	0.9647617381689708
444	TCGA-BLCA	hsa-miR-17-5p	0	0	1.0	0.9103952673316834
425	TCGA-BLCA	hsa-miR-181a-2-3p	0	0	0.9820675289598214	0.617773813354213
389	TCGA-BLCA	hsa-miR-181a-5p	0	-1	1.0	0.5324329485728974
427	TCGA-BLCA	hsa-miR-182-5p	0	-2	0.9990124004473446	0.3203762896852086
388	TCGA-BLCA	hsa-miR-183-5p	0	+1	0.5918614296182156	0.5011584956293766
414	TCGA-BLCA	hsa-miR-191-5p	0	0	0.9913181063879504	0.44497377622377565
434	TCGA-BLCA	hsa-miR-196b-5p	0	-1	1.0	0.6877425465260296
416	TCGA-BLCA	hsa-miR-197-3p	0	0	1.0	0.8864425870562971
386	TCGA-BLCA	hsa-miR-199a-3p	0	-1	0.6328605203717586	0.5940266115968424
378	TCGA-BLCA	hsa-miR-199a-5p	0	0	1.0	0.7349354746700218
424	TCGA-BLCA	hsa-miR-199b-3p	0	-1	0.6328605203717586	0.5940266115968424
446	TCGA-BLCA	hsa-miR-200a-3p	0	+1	1.0	0.7318032066769169
391	TCGA-BLCA	hsa-miR-200a-5p	0	0	0.9577849204646254	0.7567887357834735
394	TCGA-BLCA	hsa-miR-200b-3p	0	0	1.0	0.4633649257688225
440	TCGA-BLCA	hsa-miR-200c-3p	0	0	0.9964208270738558	0.6460309772015077
385	TCGA-BLCA	hsa-miR-203a-3p	0	0	0.6586653030432993	0.8222015030796193
419	TCGA-BLCA	hsa-miR-205-5p	0	0	1.0	0.5420231684719747
413	TCGA-BLCA	hsa-miR-20a-5p	0	0	1.0	0.958686011904762
441	TCGA-BLCA	hsa-miR-21-3p	0	+1	0.986183230055986	0.6473138371561221
411	TCGA-BLCA	hsa-miR-21-5p	0	0	0.9985553680831429	0.7582849460273502
432	TCGA-BLCA	hsa-miR-210-3p	0	0	1.0	0.8644457733145017
390	TCGA-BLCA	hsa-miR-22-3p	0	0	0.9906010840802353	0.9868207752493734
431	TCGA-BLCA	hsa-miR-23a-3p	0	0	0.9829116424662088	0.38430002042438294
443	TCGA-BLCA	hsa-miR-23b-3p	0	0	0.9742885021601371	0.44629829066584004
447	TCGA-BLCA	hsa-miR-24-3p	0	0	0.9983500617479126	0.7446781503528411
437	TCGA-BLCA	hsa-miR-25-3p	0	0	0.9989078927861308	0.9215832600986669
445	TCGA-BLCA	hsa-miR-26a-5p	0	0	1.0	0.5128892968242138
384	TCGA-BLCA	hsa-miR-26b-5p	0	+1	1.0	0.7862530007805784
436	TCGA-BLCA	hsa-miR-27a-3p	0	0	1.0	0.601250442630247
395	TCGA-BLCA	hsa-miR-27b-3p	0	0	0.9901931107923487	0.7005065130427183
377	TCGA-BLCA	hsa-miR-28-3p	0	0	0.9184229429747925	0.6793959749405061
423	TCGA-BLCA	hsa-miR-29a-3p	0	-1	0.8517940289915727	0.6791666515717323
