	miRNA	5shift	5isof	3shift	3isof
141	hsa-miR-30a-5p	0	0	0	1
142	hsa-miR-141-3p	0	0	1	1
143	hsa-miR-221-3p	0	0	-1	1
144	hsa-miR-146b-3p	1	1	1	1
145	hsa-miR-22-3p	0	0	0	0
146	hsa-miR-181c-5p	0	0	0	1
147	hsa-miR-105-5p	0	1	0	1
148	hsa-miR-101-3p	0	1	-1	1
149	hsa-miR-200c-3p	0	0	0	1
150	hsa-miR-373-3p	0	0	0	1
151	hsa-miR-382-5p	0	1	0	1
152	hsa-miR-372-3p	0	1	0	1
153	hsa-miR-181a-2-3p	0	0	0	1
154	hsa-miR-582-3p	0	1	0	1
155	hsa-miR-183-5p	0	1	1	1
156	hsa-miR-106b-3p	0	1	-1	1
157	hsa-miR-1307-5p	0	0	0	1
158	hsa-miR-21-3p	0	0	1	1
159	hsa-miR-141-5p	0	0	-1	1
160	hsa-miR-181b-5p	0	0	-1	1
161	hsa-miR-125b-5p	0	0	0	1
162	hsa-miR-199a-5p	0	0	0	1
163	hsa-miR-23b-3p	0	0	0	1
164	hsa-miR-409-5p	0	0	-2	1
165	hsa-miR-9-5p	0	0	0	1
166	hsa-miR-16-5p	0	0	0	1
167	hsa-miR-136-3p	1	1	0	1
168	hsa-miR-30a-3p	0	1	0	1
169	hsa-miR-181a-3p	0	0	0	1
170	hsa-miR-132-3p	0	0	0	1
171	hsa-miR-30d-5p	0	0	0	1
172	hsa-miR-374a-3p	0	0	0	1
173	hsa-miR-196b-5p	0	0	-1	1
174	hsa-miR-27b-3p	0	0	0	1
175	hsa-miR-134-5p	0	0	0	1
176	hsa-miR-100-5p	0	0	-1	1
177	hsa-miR-431-3p	-2	1	-1	1
178	hsa-miR-200b-3p	0	0	0	1
179	hsa-miR-483-3p	1	1	2	1
180	hsa-miR-92a-3p	0	0	0	1
181	hsa-miR-375	0	0	0	1
182	hsa-miR-199b-5p	0	0	0	1
183	hsa-miR-15a-5p	0	0	1	1
184	hsa-miR-381-3p	0	0	0	1
185	hsa-miR-1269a	0	0	0	1
